Actual,0,1,2,3,4,5,6,7,8,9,All
0,8,0,0,0,0,0,0,0,0,0,8
1,0,14,0,0,0,0,0,0,0,0,14
2,0,0,7,1,0,0,0,0,0,0,8
3,0,0,0,11,0,0,0,0,0,0,11
4,0,0,0,0,13,0,0,0,0,1,14
5,0,0,1,0,0,6,0,0,0,0,7
6,0,0,0,0,0,0,10,0,0,0,10
7,0,0,0,0,0,0,0,15,0,0,15
8,0,0,0,0,0,0,0,0,2,0,2
9,0,0,0,0,0,0,0,0,0,11,11
All,8,14,8,12,13,6,10,15,2,12,100
